biodiversity degradation	/ˌbaɪ.oʊ.daɪˈvɝː.sə.t̬i ˌdeɡ.rəˈdeɪ.ʃən/	(n phrase) sự suy giảm đa dạng sinh học		Biodiversity degradation threatens ecosystems and human livelihoods.	Logging is a major cause of biodiversity degradation.	biodiversity loss, ecological decline, habitat degradation	Register: Formal | Word family: biodiverse (adj), biodiversity (n), degrade (v), degradation (n) | Cách dùng: Writing Task 2 - environment | Collocation/Note: biodiversity loss is more common; degradation often collocates with land, soil, environment
untouched region	/ʌnˈtʌtʃt ˈriː.dʒən/	(n phrase) khu vực nguyên sơ/chưa bị con người tác động nhiều		Mining in untouched regions can damage fragile ecosystems.	Tourists are attracted to untouched regions with natural beauty.	pristine area, unspoiled region, virgin land	Register: Formal/Neutral | Word family: touch (v), untouched (adj), region (n), regional (adj) | Cách dùng: Writing Task 2 - environment, tourism | Collocation/Note: untouched/pristine/unspoiled regions; avoid overusing virgin land
mining	/ˈmaɪ.nɪŋ/	(n) hoạt động khai thác mỏ/khoáng sản		Mining can create jobs but harm the environment.	The local economy depends heavily on mining.	mineral extraction, quarrying, excavation	Register: Neutral/Formal | Word family: mine (n/v), miner (n), mining (n) | Cách dùng: Writing Task 2 - environment, economy | Collocation/Note: coal/gold/mineral mining; mining industry/operation
logging	/ˈlɑː.ɡɪŋ/	(n) hoạt động khai thác gỗ/đốn cây thương mại		Illegal logging destroys forests and wildlife habitats.	Logging companies should follow strict environmental rules.	deforestation, timber harvesting, tree felling	Register: Neutral/Formal | Word family: log (n/v), logger (n), logging (n) | Cách dùng: Writing Task 2 - environment | Collocation/Note: illegal/commercial logging; logging can contribute to deforestation
driver of animal extinction	/ˈdraɪ.vɚ əv ˈæn.ə.məl ɪkˈstɪŋk.ʃən/	(n phrase) yếu tố/nguyên nhân thúc đẩy sự tuyệt chủng của động vật		Habitat loss is a major driver of animal extinction.	Poaching remains one driver of animal extinction in Africa.	cause, factor, contributor, catalyst	Register: Formal | Word family: drive (v), driver (n), extinct (adj), extinction (n) | Cách dùng: Writing Task 2 - environment, wildlife | Collocation/Note: a key/major driver of + change/problem; extinction is uncountable
machinery operation	/məˈʃiː.nɚ.i ˌɑː.pəˈreɪ.ʃən/	(n phrase) sự vận hành máy móc		Machinery operation can create noise pollution near factories.	Workers need training in safe machinery operation.	machine use, equipment operation, mechanical operation	Register: Formal | Word family: machine (n), machinery (n), operate (v), operation (n), operational (adj) | Cách dùng: Writing Task 2 - industry, environment | Collocation/Note: heavy machinery operation; machinery is uncountable
marine pollution	/məˈriːn pəˈluː.ʃən/	(n phrase) ô nhiễm biển/đại dương		Plastic waste is a major cause of marine pollution.	Marine pollution threatens fish, birds, and coastal communities.	ocean pollution, water pollution, plastic pollution	Register: Formal | Word family: marine (adj), pollute (v), pollution (n) | Cách dùng: Writing Task 2 - environment | Collocation/Note: marine pollution/habitat/ecosystem; marine means related to the sea
noise pollution	/nɔɪz pəˈluː.ʃən/	(n phrase) ô nhiễm tiếng ồn		Noise pollution can reduce residents' quality of life.	Airports often create serious noise pollution for nearby communities.	excessive noise, sound pollution, disturbance	Register: Neutral/Formal | Word family: noise (n), noisy (adj), pollution (n) | Cách dùng: Writing Task 2 - urban life, environment | Collocation/Note: noise pollution from traffic/construction; cause/reduce noise pollution
soil erosion	/sɔɪl ɪˈroʊ.ʒən/	(n phrase) xói mòn đất		Deforestation can accelerate soil erosion in mountainous areas.	Farmers use trees to prevent soil erosion.	land degradation, topsoil loss, erosion	Register: Formal | Word family: erode (v), erosion (n), erosive (adj), soil (n) | Cách dùng: Writing Task 2 - environment, agriculture | Collocation/Note: prevent/reduce/accelerate soil erosion
wreck the pristine environment	/rek ðə ˈprɪs.tiːn ɪnˈvaɪ.rən.mənt/	(v phrase) phá hủy môi trường nguyên sơ		Uncontrolled tourism can wreck the pristine environment.	Mining may wreck the pristine environment of remote islands.	destroy, ruin, devastate, damage	Register: Strong/Neutral | Word family: wreck (v/n), pristine (adj), environment (n) | Cách dùng: Writing Task 2 - environment, tourism | Collocation/Note: wreck is strong and vivid; formal alternative: damage/degrade the pristine environment
curb carbon emissions	/kɝːb ˈkɑːr.bən ɪˈmɪʃ.ənz/	(v phrase) hạn chế/cắt giảm lượng phát thải carbon		Governments must curb carbon emissions to slow climate change.	Cleaner transport can help cities curb carbon emissions.	reduce, cut, limit, restrain	Register: Formal | Word family: curb (v/n), emission (n), emit (v) | Cách dùng: Writing Task 2 - environment, energy | Collocation/Note: curb emissions/pollution/spending; emissions usually plural
curb air pollution	/kɝːb er pəˈluː.ʃən/	(v phrase) hạn chế/giảm ô nhiễm không khí		Electric buses can help curb air pollution in cities.	Strict fuel standards are needed to curb air pollution.	reduce, limit, tackle, control	Register: Formal | Word family: curb (v/n), pollute (v), pollution (n) | Cách dùng: Writing Task 2 - environment, transport | Collocation/Note: curb pollution is formal and concise
renewable energy	/rɪˈnuː.ə.bəl ˈen.ɚ.dʒi/	(n phrase) năng lượng tái tạo		Renewable energy can reduce dependence on fossil fuels.	Many countries are investing heavily in renewable energy.	clean energy, green energy, sustainable energy	Register: Neutral/Formal | Word family: renew (v), renewable (adj), renewal (n), energy (n) | Cách dùng: Writing Task 2 - energy, environment | Collocation/Note: renewable energy sources; solar, wind, hydro power
financial shift	/faɪˈnæn.ʃəl ʃɪft/	(n phrase) sự dịch chuyển trong lĩnh vực tài chính/tài trợ		The green economy requires a major financial shift.	A financial shift toward clean energy is already happening.	funding shift, economic transition, capital reallocation	Register: Formal | Word family: finance (n/v), financial (adj), shift (n/v) | Cách dùng: Writing Task 2 - economy, energy transition | Collocation/Note: shift from A to B; financial shift toward + sector
stimulate innovation	/ˈstɪm.jə.leɪt ˌɪn.əˈveɪ.ʃən/	(v phrase) kích thích/thúc đẩy đổi mới sáng tạo		Competition can stimulate innovation among domestic companies.	Government funding may stimulate innovation in renewable energy.	encourage, foster, promote, spur	Register: Formal | Word family: stimulate (v), stimulation (n), innovative (adj), innovation (n) | Cách dùng: Writing Task 2 - technology, economy | Collocation/Note: stimulate innovation/growth/demand; innovation often uncountable
stimulate investment	/ˈstɪm.jə.leɪt ɪnˈvest.mənt/	(v phrase) kích thích/thúc đẩy đầu tư		Lower taxes may stimulate investment in small businesses.	Stable policies can stimulate investment in green technology.	encourage, attract, promote, boost	Register: Formal | Word family: invest (v), investment (n), investor (n) | Cách dùng: Writing Task 2 - economy, policy | Collocation/Note: stimulate/attract investment; investment in + sector
diversify energy sources	/daɪˈvɝː.sə.faɪ ˈen.ɚ.dʒi ˈsɔːr.sɪz/	(v phrase) đa dạng hóa nguồn năng lượng		Countries should diversify energy sources to improve energy security.	Solar and wind power help diversify energy sources.	broaden, vary, expand, widen	Register: Formal | Word family: diverse (adj), diversity (n), diversify (v), diversification (n) | Cách dùng: Writing Task 2 - energy, environment | Collocation/Note: diversify sources/supplies/income; energy sources usually plural
reduce dependence on non-renewables	/rɪˈduːs dɪˈpen.dəns ɑːn ˌnɑːn rɪˈnuː.ə.bəlz/	(v phrase) giảm sự phụ thuộc vào các nguồn năng lượng không tái tạo		Renewable energy can reduce dependence on non-renewables.	Public transport helps reduce dependence on non-renewables.	lessen reliance, cut reliance, decrease dependency	Register: Formal | Word family: depend (v), dependence (n), dependent (adj), renewable (adj/n) | Cách dùng: Writing Task 2 - energy, environment | Collocation/Note: dependence on + noun; non-renewables = non-renewable energy sources
inflation	/ɪnˈfleɪ.ʃən/	(n) lạm phát		Inflation makes basic goods more expensive for families.	High inflation can reduce people's purchasing power.	price rises, rising prices, cost inflation	Register: Neutral/Formal | Word family: inflate (v), inflationary (adj), deflation (n) | Cách dùng: Writing Task 2 - economy, living costs | Collocation/Note: high/rising/annual inflation; inflation rate
environmental degradation	/ɪnˌvaɪ.rənˈmen.t̬əl ˌdeɡ.rəˈdeɪ.ʃən/	(n phrase) sự suy thoái môi trường		Environmental degradation can result from rapid industrial growth.	Industrial waste is a key cause of environmental degradation.	environmental decline, ecological damage, habitat degradation	Register: Formal | Word family: environment (n), environmental (adj), degrade (v), degradation (n) | Cách dùng: Writing Task 2 - environment | Collocation/Note: environmental degradation stems from/is caused by + source
stem from industrial waste	/stem frəm ɪnˈdʌs.tri.əl weɪst/	(v phrase) bắt nguồn từ chất thải công nghiệp		Water pollution often stems from industrial waste.	Many health problems stem from industrial waste near factories.	result from, arise from, originate from, be caused by	Register: Formal | Word family: stem (v/n), industry (n), industrial (adj), waste (n/v) | Cách dùng: Writing Task 2 - environment, health | Collocation/Note: stem from + cause/source; not stem by
tackle root problems	/ˈtæk.əl ruːt ˈprɑː.bləmz/	(v phrase) giải quyết tận gốc các vấn đề		Recycling alone cannot tackle root problems of overconsumption.	Education helps societies tackle root problems more effectively.	address, solve, deal with, combat	Register: Formal/Neutral | Word family: tackle (v/n), root (n/adj), problem (n) | Cách dùng: Writing Task 2 - solutions | Collocation/Note: tackle/address the root cause/problem; root means fundamental
environmentally sound sources of energy	/ɪnˌvaɪ.rənˈmen.t̬əl.i saʊnd ˈsɔːr.sɪz əv ˈen.ɚ.dʒi/	(n phrase) các nguồn năng lượng thân thiện với môi trường và hợp lý về mặt sinh thái		Solar power is an environmentally sound source of energy.	Governments should invest in environmentally sound sources of energy.	clean energy, green energy, sustainable energy	Register: Formal | Word family: environment (n), environmental (adj), environmentally (adv), sound (adj) | Cách dùng: Writing Task 2 - energy, environment | Collocation/Note: environmentally sound = environmentally safe/appropriate; use before noun
poaching	/ˈpoʊ.tʃɪŋ/	(n) săn bắt động vật trái phép		Poaching is driving many endangered species toward extinction.	Stronger penalties can reduce poaching in national parks.	illegal hunting, wildlife crime, trapping	Register: Neutral/Formal | Word family: poach (v), poacher (n), poaching (n) | Cách dùng: Writing Task 2 - wildlife, law | Collocation/Note: illegal poaching is redundant; poaching already means illegal hunting
afforestation	/əˌfɔːr.əˈsteɪ.ʃən/	(n) việc trồng rừng trên vùng trước đó không có rừng		Afforestation can help absorb carbon dioxide over time.	The government launched an afforestation program in dry areas.	tree planting, reforestation, forest creation	Register: Formal | Word family: forest (n), afforest (v), afforestation (n), reforestation (n) | Cách dùng: Writing Task 2 - environment, climate change | Collocation/Note: afforestation vs reforestation: trồng rừng mới vs trồng lại rừng
allow domestic businesses to reach international markets	/əˈlaʊ dəˈmes.tɪk ˈbɪz.nə.sɪz tə riːtʃ ˌɪn.t̬ɚˈnæʃ.ən.əl ˈmɑːr.kɪts/	(v phrase) cho phép doanh nghiệp nội địa tiếp cận thị trường quốc tế		E-commerce allows domestic businesses to reach international markets.	Trade agreements can help domestic businesses reach international markets.	access global markets, expand overseas, enter foreign markets	Register: Formal | Word family: domestic (adj), business (n), international (adj), market (n/v) | Cách dùng: Writing Task 2 - globalization, business | Collocation/Note: reach/access/enter international markets; domestic = trong nước
economic problems	/ˌek.əˈnɑː.mɪk ˈprɑː.bləmz/	(n phrase) các vấn đề kinh tế		Unemployment and inflation are serious economic problems.	Poor infrastructure can create economic problems for rural areas.	financial difficulties, economic challenges, fiscal problems	Register: Neutral | Word family: economy (n), economic (adj), economically (adv), economist (n) | Cách dùng: Writing Task 2 - economy, society | Collocation/Note: economic = related to economy; economical = tiết kiệm
financial stability	/faɪˈnæn.ʃəl stəˈbɪl.ə.t̬i/	(n phrase) sự ổn định tài chính		A steady job provides financial stability for families.	Financial stability is important before starting a business.	economic security, fiscal stability, financial security	Register: Neutral/Formal | Word family: finance (n/v), financial (adj), stable (adj), stability (n) | Cách dùng: Speaking Part 3, Writing Task 2 - money, work | Collocation/Note: achieve/maintain financial stability; opposite: financial instability
shared challenges	/ʃerd ˈtʃæl.ɪn.dʒɪz/	(n phrase) những thách thức chung/cùng phải đối mặt		Climate change and pandemics are shared challenges.	Countries must cooperate to solve shared challenges effectively.	common problems, collective challenges, mutual concerns	Register: Formal/Neutral | Word family: share (v), shared (adj), challenge (n/v) | Cách dùng: Writing Task 2 - globalization, international cooperation | Collocation/Note: shared challenges such as climate change, pandemics, and global security
climate change	/ˈklaɪ.mət tʃeɪndʒ/	(n phrase) biến đổi khí hậu		Climate change threatens food security in many countries.	Individuals can take small steps to fight climate change.	global warming, climate crisis, environmental change	Register: Neutral/Formal | Word family: climate (n), climatic (adj), change (n/v) | Cách dùng: Writing Task 2 - environment | Collocation/Note: address/combat/mitigate climate change
pandemic	/pænˈdem.ɪk/ (n); /pænˈdem.ɪk/ (adj)	(n) đại dịch; (adj) mang tính đại dịch, lan rộng toàn cầu		The pandemic disrupted education and employment worldwide.	Pandemic risks require strong international cooperation.	epidemic, outbreak, global health crisis	Register: Neutral/Formal | Word family: pandemic (n/adj), epidemic (n/adj) | Cách dùng: Writing Task 2 - health, globalization | Collocation/Note: pandemic = global outbreak; epidemic = regional/widespread outbreak
scientific cooperation	/ˌsaɪ.ənˈtɪf.ɪk koʊˌɑː.pəˈreɪ.ʃən/	(n phrase) hợp tác khoa học		Scientific cooperation helps countries respond to global diseases.	Space research depends on strong scientific cooperation.	research collaboration, academic cooperation, knowledge sharing	Register: Formal | Word family: science (n), scientist (n), scientific (adj), cooperate (v), cooperation (n) | Cách dùng: Writing Task 2 - international cooperation, science | Collocation/Note: science alone is not usually a challenge; scientific cooperation fits the context better
global security	/ˈɡloʊ.bəl sɪˈkjʊr.ə.t̬i/	(n phrase) an ninh toàn cầu		Terrorism and cybercrime are threats to global security.	International cooperation is essential for global security.	international security, world peace, collective security	Register: Formal | Word family: globe (n), global (adj), security (n), secure (adj/v) | Cách dùng: Writing Task 2 - globalization, politics | Collocation/Note: threat to global security; enhance/maintain global security
coordinate policies	/koʊˈɔːr.dən.eɪt ˈpɑː.lə.siz/	(v phrase) phối hợp chính sách		Countries need to coordinate policies during global crises.	Local governments should coordinate policies on public transport.	align, harmonize, organize, synchronize	Register: Formal | Word family: coordinate (v), coordination (n), coordinated (adj), policy (n) | Cách dùng: Writing Task 2 - government, international cooperation | Collocation/Note: coordinate policies/efforts/actions; policy plural when multiple measures
environmental detriment	/ɪnˌvaɪ.rənˈmen.t̬əl ˈdet.rə.mənt/	(n phrase) tác hại/sự bất lợi đối với môi trường		Industrial expansion can cause environmental detriment.	Economic growth should not come at environmental detriment.	environmental harm, ecological damage, environmental cost	Register: Formal | Word family: detriment (n), detrimental (adj), environment (n), environmental (adj) | Cách dùng: Writing Task 2 - environment | Collocation/Note: to the detriment of + noun is more common than an environmental detriment
